839	820	1659
389	397	786
87	829	916
319	657	976
570	987	1557
44	498	542
481	533	1014
363	922	1285
867	374	1241
729	463	1192
32	685	717
44	622	666
957	390	1347
16	667	683
715	996	1711
878	752	1630
381	387	768
624	736	1360
235	835	1070
897	689	1586
75	111	186
100	780	880
177	718	895
412	175	587
351	115	466
265	29	294
463	205	668
128	67	195
840	419	1259
652	178	830
551	559	1110
796	585	1381
165	667	832
407	567	974
22	829	851
51	825	876
912	850	1762
474	205	679
236	549	785
936	969	1905
613	786	1399
953	990	1943
898	262	1160
708	962	1670
386	173	559
436	427	863
921	936	1857
864	521	1385
991	620	1611
955	33	988
481	293	774
647	271	918
810	591	1401
285	328	613
101	858	959
56	646	702
239	336	575
414	25	439
602	503	1105
495	716	1211
504	913	1417
228	885	1113
857	658	1515
992	269	1261
645	158	803
273	946	1219
194	570	764
218	52	270
420	800	1220
511	709	1220
318	928	1246
179	724	903
437	979	1416
757	111	868
688	474	1162
212	257	469
10	862	872
369	168	537
680	874	1554
674	296	970
682	737	1419
274	690	964
286	162	448
43	29	72
407	338	745
891	556	1447
157	847	1004
520	184	704
855	804	1659
766	207	973
273	330	603
806	589	1395
637	494	1131
620	458	1078
932	855	1787
656	286	942
738	359	1097
525	203	728
238	94	332
428	810	1238
240	354	594
192	694	886
261	489	750
217	983	1200
750	280	1030
15	390	405
112	407	519
848	460	1308
102	345	447
18	358	376
784	232	1016
253	476	729
354	600	954
413	964	1377
449	226	675
846	425	1271
812	653	1465
391	923	1314
924	269	1193
495	158	653
726	595	1321
283	412	695
470	826	1296
918	804	1722
616	675	1291
228	947	1175
873	419	1292
616	553	1169
311	161	472
577	474	1051
903	297	1200
29	26	55
587	561	1148
814	83	897
522	751	1273
595	142	737
264	369	633
554	483	1037
860	731	1591
140	726	866
471	553	1024
325	173	498
684	473	1157
811	325	1136
258	148	406
803	981	1784
174	124	298
79	410	489
254	253	507
966	62	1028
751	866	1617
872	893	1765
293	685	978
50	230	280
142	768	910
744	826	1570
633	324	957
947	154	1101
940	707	1647
537	846	1383
216	248	464
460	133	593
926	848	1774
377	203	580
863	504	1367
273	809	1082
7	132	139
530	915	1445
694	678	1372
19	291	310
649	940	1589
686	546	1232
221	335	556
488	161	649
995	341	1336
77	389	466
241	544	785
392	581	973
867	988	1855
839	947	1786
787	665	1452
141	907	1048
565	8	573
144	437	581
615	449	1064
396	26	422
398	563	961
680	798	1478
577	837	1414
843	591	1434
446	783	1229
909	365	1274
553	202	755
911	894	1805
457	81	538
726	986	1712
205	911	1116
22	89	111
723	417	1140
626	816	1442
593	548	1141
629	258	887
769	574	1343
919	367	1286
166	799	965
957	586	1543
238	694	932
241	328	569
524	586	1110
666	265	931
538	47	585
53	86	139
869	355	1224
856	309	1165
470	852	1322
138	208	346
989	683	1672
132	429	561
25	694	719
619	587	1206
464	86	550
68	869	937
195	916	1111
773	489	1262
420	53	473
942	497	1439
965	631	1596
248	271	519
526	783	1309
122	160	282
505	396	901
16	193	209
97	499	596
285	75	360
374	832	1206
153	321	474
545	585	1130
76	398	474
847	968	1815
300	500	800
146	850	996
406	125	531
953	973	1926
842	247	1089
323	110	433
959	712	1671
493	290	783
73	311	384
426	536	962
630	744	1374
311	588	899
403	553	956
953	763	1716
535	914	1449
358	346	704
610	335	945
77	198	275
280	572	852
891	366	1257
437	919	1356
467	699	1166
915	197	1112
180	96	276
875	308	1183
136	777	913
285	215	500
459	186	645
865	416	1281
326	299	625
282	696	978
509	169	678
889	223	1112
787	181	968
667	686	1353
496	7	503
792	694	1486
176	596	772
341	426	767
671	345	1016
715	868	1583
282	209	491
480	397	877
225	376	601
971	709	1680
894	246	1140
359	44	403
594	730	1324
126	874	1000
43	733	776
626	916	1542
232	338	570
955	99	1054
361	652	1013
946	161	1107
